Averaging and calculating the power spectrum...
px[167] = 0.000187; pe[167] = 0.000083
px[168] = 0.000250; pe[168] = 0.000101
px[169] = 0.000257; pe[169] = 0.000145
px[170] = 0.000212; pe[170] = 0.000112
px[171] = 0.000232; pe[171] = 0.000132
px[172] = 0.000215; pe[172] = 0.000115
px[173] = 0.000214; pe[173] = 0.000100
px[174] = 0.000220; pe[174] = 0.000106
px[175] = 0.000291; pe[175] = 0.000141
px[176] = 0.000231; pe[176] = 0.000105
px[177] = 0.000201; pe[177] = 0.000078
px[178] = 0.000192; pe[178] = 0.000128
px[179] = 0.000245; pe[179] = 0.000147
px[180] = 0.000199; pe[180] = 0.000097
px[181] = 0.000214; pe[181] = 0.000125
px[182] = 0.000211; pe[182] = 0.000101
px[183] = 0.000300; pe[183] = 0.000155
px[184] = 0.000218; pe[184] = 0.000108
px[185] = 0.000170; pe[185] = 0.000059
px[186] = 0.000128; pe[186] = 0.000054
px[187] = 0.000158; pe[187] = 0.000092
px[188] = 0.000187; pe[188] = 0.000123
px[189] = 0.000155; pe[189] = 0.000079
px[190] = 0.000160; pe[190] = 0.000071
px[191] = 0.000184; pe[191] = 0.000086
px[192] = 0.000199; pe[192] = 0.000114
px[193] = 0.000174; pe[193] = 0.000101
px[194] = 0.000174; pe[194] = 0.000113
px[195] = 0.000121; pe[195] = 0.000069
px[196] = 0.000137; pe[196] = 0.000068
px[197] = 0.000227; pe[197] = 0.000103
px[198] = 0.000221; pe[198] = 0.000117
px[199] = 0.000168; pe[199] = 0.000103
px[200] = 0.000191; pe[200] = 0.000111
px[201] = 0.000157; pe[201] = 0.000094
px[202] = 0.000163; pe[202] = 0.000081
px[203] = 0.000173; pe[203] = 0.000103
px[204] = 0.000147; pe[204] = 0.000090
px[205] = 0.000159; pe[205] = 0.000112
px[206] = 0.000151; pe[206] = 0.000078
px[207] = 0.000141; pe[207] = 0.000061
px[208] = 0.000152; pe[208] = 0.000077
px[209] = 0.000154; pe[209] = 0.000087
px[210] = 0.000148; pe[210] = 0.000065
px[211] = 0.000141; pe[211] = 0.000074
px[212] = 0.000161; pe[212] = 0.000065
px[213] = 0.000196; pe[213] = 0.000093
px[214] = 0.000156; pe[214] = 0.000070
px[215] = 0.000147; pe[215] = 0.000054
px[216] = 0.000126; pe[216] = 0.000066
px[217] = 0.000149; pe[217] = 0.000079
px[218] = 0.000162; pe[218] = 0.000063
px[219] = 0.000115; pe[219] = 0.000053
px[220] = 0.000122; pe[220] = 0.000079
px[221] = 0.000126; pe[221] = 0.000076
px[222] = 0.000113; pe[222] = 0.000060
px[223] = 0.000137; pe[223] = 0.000050
px[224] = 0.000188; pe[224] = 0.000072
px[225] = 0.000187; pe[225] = 0.000071
px[226] = 0.000163; pe[226] = 0.000069
px[227] = 0.000210; pe[227] = 0.000093
px[228] = 0.000182; pe[228] = 0.000079
px[229] = 0.000149; pe[229] = 0.000080
px[230] = 0.000161; pe[230] = 0.000082
px[231] = 0.000178; pe[231] = 0.000096
px[232] = 0.000134; pe[232] = 0.000069
px[233] = 0.000126; pe[233] = 0.000073
px[234] = 0.000118; pe[234] = 0.000070
px[235] = 0.000137; pe[235] = 0.000068
px[236] = 0.000184; pe[236] = 0.000071
px[237] = 0.000144; pe[237] = 0.000070
px[238] = 0.000147; pe[238] = 0.000080
px[239] = 0.000132; pe[239] = 0.000064
px[240] = 0.000112; pe[240] = 0.000066
px[241] = 0.000116; pe[241] = 0.000073
px[242] = 0.000110; pe[242] = 0.000055
px[243] = 0.000084; pe[243] = 0.000036
px[244] = 0.000114; pe[244] = 0.000053
px[245] = 0.000124; pe[245] = 0.000057
px[246] = 0.000145; pe[246] = 0.000078
px[247] = 0.000120; pe[247] = 0.000071
px[248] = 0.000125; pe[248] = 0.000055
px[249] = 0.000131; pe[249] = 0.000064
px[250] = 0.000162; pe[250] = 0.000092
px[251] = 0.000133; pe[251] = 0.000062
px[252] = 0.000130; pe[252] = 0.000071
px[253] = 0.000148; pe[253] = 0.000076
px[254] = 0.000124; pe[254] = 0.000075
px[255] = 0.000110; pe[255] = 0.000054
px[256] = 0.000264; pe[256] = 0.000139

px[0] = 0.137389; pe[0] = 0.034660
px[1] = 0.278918; pe[1] = 0.109384
px[2] = 0.232709; pe[2] = 0.070284
px[3] = 0.294348; pe[3] = 0.130319
px[4] = 0.384612; pe[4] = 0.148616
px[5] = 0.355472; pe[5] = 0.116276
px[6] = 0.352909; pe[6] = 0.151568
px[7] = 0.402684; pe[7] = 0.159440
px[8] = 0.384160; pe[8] = 0.123624
px[9] = 0.395858; pe[9] = 0.135589
px[10] = 0.544843; pe[10] = 0.236704
px[11] = 0.621844; pe[11] = 0.242025
px[12] = 0.572442; pe[12] = 0.242844
px[13] = 0.616260; pe[13] = 0.223185
px[14] = 0.644450; pe[14] = 0.228849
px[15] = 0.760941; pe[15] = 0.259457
px[16] = 0.888129; pe[16] = 0.226395
px[17] = 1.057014; pe[17] = 0.313941
px[18] = 1.280576; pe[18] = 0.359364
px[19] = 1.720371; pe[19] = 0.497596
px[20] = 1.956444; pe[20] = 0.801780
px[21] = 2.567550; pe[21] = 0.711504
px[22] = 4.467055; pe[22] = 1.168446
px[23] = 6.534118; pe[23] = 2.022763
px[24] = 10.230443; pe[24] = 3.792063
px[25] = 18.184574; pe[25] = 6.885118
px[26] = 18.098654; pe[26] = 6.305250
px[27] = 8.538342; pe[27] = 2.858862
px[28] = 4.644751; pe[28] = 1.517197
px[29] = 2.657567; pe[29] = 0.601998
px[30] = 1.723672; pe[30] = 0.575740
px[31] = 1.513548; pe[31] = 0.444363
px[32] = 0.929716; pe[32] = 0.246559
px[33] = 0.789255; pe[33] = 0.232205
px[34] = 0.623636; pe[34] = 0.221071
px[35] = 0.411957; pe[35] = 0.179062
px[36] = 0.454142; pe[36] = 0.167769
px[37] = 0.305009; pe[37] = 0.107762
px[38] = 0.248678; pe[38] = 0.091155
px[39] = 0.232921; pe[39] = 0.080429
px[40] = 0.162206; pe[40] = 0.048179
px[41] = 0.134023; pe[41] = 0.054183
px[42] = 0.119634; pe[42] = 0.051815
px[43] = 0.106446; pe[43] = 0.038178
px[44] = 0.089064; pe[44] = 0.041603
px[45] = 0.081434; pe[45] = 0.030997
px[46] = 0.069503; pe[46] = 0.021905
px[47] = 0.065378; pe[47] = 0.023672
px[48] = 0.048288; pe[48] = 0.017277
px[49] = 0.043228; pe[49] = 0.011635
px[50] = 0.050971; pe[50] = 0.015697
px[51] = 0.041956; pe[51] = 0.015324
px[52] = 0.040445; pe[52] = 0.015337
px[53] = 0.041319; pe[53] = 0.016235
px[54] = 0.037530; pe[54] = 0.013841
px[55] = 0.024649; pe[55] = 0.009897
px[56] = 0.021211; pe[56] = 0.007212
px[57] = 0.021354; pe[57] = 0.006631
px[58] = 0.016530; pe[58] = 0.006574
px[59] = 0.019231; pe[59] = 0.007852
px[60] = 0.018987; pe[60] = 0.007678
px[61] = 0.014130; pe[61] = 0.003573
px[62] = 0.013842; pe[62] = 0.003190
px[63] = 0.012052; pe[63] = 0.004158
px[64] = 0.013985; pe[64] = 0.004129
px[65] = 0.011573; pe[65] = 0.003020
px[66] = 0.008965; pe[66] = 0.003150
px[67] = 0.009174; pe[67] = 0.003227
px[68] = 0.009994; pe[68] = 0.003705
px[69] = 0.009271; pe[69] = 0.003180
px[70] = 0.007740; pe[70] = 0.002848
px[71] = 0.006565; pe[71] = 0.002554
px[72] = 0.006571; pe[72] = 0.002344
px[73] = 0.007668; pe[73] = 0.002223
px[74] = 0.007328; pe[74] = 0.002268
px[75] = 0.006389; pe[75] = 0.001985
px[76] = 0.006328; pe[76] = 0.001984
px[77] = 0.007147; pe[77] = 0.002056
px[78] = 0.007392; pe[78] = 0.002537
px[79] = 0.004741; pe[79] = 0.001518
px[80] = 0.005057; pe[80] = 0.001544
px[81] = 0.005456; pe[81] = 0.002148
px[82] = 0.005103; pe[82] = 0.001557
px[83] = 0.004492; pe[83] = 0.001527
px[84] = 0.003302; pe[84] = 0.001244
px[85] = 0.004070; pe[85] = 0.001608
px[86] = 0.004874; pe[86] = 0.001545
px[87] = 0.003446; pe[87] = 0.001045
px[88] = 0.003349; pe[88] = 0.001034
px[89] = 0.003150; pe[89] = 0.000875
px[90] = 0.002529; pe[90] = 0.000751
